,label,split,group,weighted_agreement,agree_n,agree_pct,agree_weighted_n,disagree_n,disagree_pct,disagree_weighted_n,total_n,total_weighted_n
377,Les chefs religieux que j'admire n'utilisent pas et n'encouragent pas la contraception.,age_group,21-30,0.33849952894732604,68.0,0.6538461538461539,134061.5360159182,36.0,0.34615384615384615,21880.53510928155,289.0,331406.6677005424
378,Les chefs religieux que j'admire n'utilisent pas et n'encouragent pas la contraception.,age_group,31-45,0.14629369189987226,66.0,0.4782608695652174,187978.73457826182,72.0,0.5217391304347826,86288.53000770499,386.0,695109.975351204
379,Les contraceptifs affaiblissent l'utérus des femmes.,age_group,16-20,0.2233796848646893,5.0,0.8333333333333334,25527.91205965577,1.0,0.16666666666666666,14851.489341784683,22.0,47794.95827625621
380,Les contraceptifs affaiblissent l'utérus des femmes.,age_group,21-30,0.3348942601305472,64.0,0.8311688311688312,117294.52799851829,13.0,0.16883116883116883,6308.337216615025,289.0,331406.6677005424
381,Les contraceptifs affaiblissent l'utérus des femmes.,age_group,31-45,0.0015142235988514462,99.0,0.7557251908396947,173880.54924777822,32.0,0.24427480916030533,172827.99731930438,386.0,695109.975351204
382,Les contraceptifs ne causent pas la mort.,age_group,16-20,0.490103659821901,5.0,0.8333333333333334,23647.765382995472,1.0,0.16666666666666666,223.28141076724657,22.0,47794.95827625621
383,Les contraceptifs ne causent pas la mort.,age_group,21-30,-0.009069218289637027,88.0,0.7096774193548387,62510.663324767535,36.0,0.2903225806451613,65516.262736784956,289.0,331406.6677005424
384,Les contraceptifs ne causent pas la mort.,age_group,31-45,0.2923395692280412,129.0,0.8113207547169812,263949.76820204663,30.0,0.18867924528301888,60741.61744176133,386.0,695109.975351204
385,Les contraceptifs ne provoquent pas de cancer.,age_group,16-20,0.31149126892433904,2.0,1.0,14887.712201656888,0.0,0.0,0.0,22.0,47794.95827625621
386,Les contraceptifs ne provoquent pas de cancer.,age_group,21-30,0.044062662485434334,58.0,0.6904761904761905,50948.32562646365,26.0,0.30952380952380953,36345.665482152166,289.0,331406.6677005424
387,Les contraceptifs ne provoquent pas de cancer.,age_group,31-45,0.24951455980199835,86.0,0.8269230769230769,216554.20206991877,18.0,0.17307692307692307,43114.14255618517,386.0,695109.975351204
388,Les contraceptifs peuvent empêcher une femme de concevoir à nouveau.,age_group,16-20,0.26457020022015676,11.0,0.7857142857142857,29312.267849460914,3.0,0.21428571428571427,16667.146168797768,22.0,47794.95827625621
389,Les contraceptifs peuvent empêcher une femme de concevoir à nouveau.,age_group,21-30,0.6986993799104497,180.0,0.861244019138756,250922.53753243963,29.0,0.13875598086124402,19368.904311882197,289.0,331406.6677005424
390,Les contraceptifs peuvent empêcher une femme de concevoir à nouveau.,age_group,31-45,0.4577912553118325,252.0,0.863013698630137,416375.98691599414,40.0,0.136986301369863,98160.7187201894,386.0,695109.975351204
391,Les contraceptifs peuvent faire perdre trop de poids à une femme.,age_group,16-20,0.3393245267387137,13.0,0.8666666666666667,31105.7137992441,2.0,0.13333333333333333,14887.712201656888,22.0,47794.95827625621
392,Les contraceptifs peuvent faire perdre trop de poids à une femme.,age_group,21-30,0.7117817055439777,226.0,0.9699570815450643,242390.830238277,7.0,0.030042918454935622,6501.627073738653,289.0,331406.6677005424
393,Les contraceptifs peuvent faire perdre trop de poids à une femme.,age_group,31-45,0.5034264563685411,300.0,0.9554140127388535,487070.2015203986,14.0,0.044585987261146494,137133.44984291788,386.0,695109.975351204
394,Les contraceptifs peuvent provoquer des gonflements ou des inflammations dans le corps.,age_group,16-20,-0.006305838837394988,3.0,0.75,1478.046663010791,1.0,0.25,1779.4339671408804,22.0,47794.95827625621
395,Les contraceptifs peuvent provoquer des gonflements ou des inflammations dans le corps.,age_group,21-30,0.33991105973277735,117.0,0.9512195121951219,114181.74076958037,6.0,0.04878048780487805,1532.949148980611,289.0,331406.6677005424
